round,iso.alpha.3,snu
2021,UZB,
2021,MOZ,NORTH_Niassa
2021,MOZ,NORTH_Cabo Delgado
2021,MOZ,NORTH_Nampula
2021,MOZ,CENTER_Zambezi
2021,MOZ,CENTER_Tete
2021,MOZ,CENTER_Manica
2021,MOZ,CENTER_Sofala
2021,MOZ,SOUTH_Inhambane
2021,MOZ,SOUTH_Gaza
2021,MOZ,SOUTH_Maputo
2021,AGO,
2021,BWA,
2021,COM,
2021,ERI,
2021,SWZ,
2021,ETH,Addis Abeba
2021,ETH,Affar
2021,ETH,Amhara
2021,ETH,Benis Gumz
2021,ETH,Dire Dawa
2021,ETH,Gambela
2021,ETH,Harari
2021,ETH,Oromiya
2021,ETH,Sidama
2021,ETH,SNNP
2021,ETH,Somali
2021,ETH,Tigray
2021,KEN,Central
2021,KEN,Coast
2021,KEN,Eastern
2021,KEN,Nairobi
2021,KEN,North Eastern
2021,KEN,Nyanza
2021,KEN,Rift Valley
2021,KEN,Western
2021,LSO,
2021,MDG,
2021,MWI,
2021,MUS,
2021,NAM,
2021,RWA,
2021,ZAF,
2021,SSD,
2021,TZA,
2021,UGA,
2021,ZMB,
2021,ZWE,Bulawayo
2021,ZWE,Harare Chitungwiza
2021,ZWE,Manicaland
2021,ZWE,Mashonaland Central
2021,ZWE,Mashonaland East
2021,ZWE,Mashonaland West
2021,ZWE,Masvingo
2021,ZWE,Matabeleland North
2021,ZWE,Matabeleland South
2021,ZWE,Midlands
2021,ARG,
2021,BOL,
2021,BRA,
2021,CHL,
2021,COL,
2021,CRI,
2021,ECU,
2021,SLV,
2021,GTM,
2021,HND,
2021,MEX,
2021,NIC,
2021,PAN,
2021,PRY,
2021,PER,
2021,URY,
2021,VEN,
2021,DZA,
2021,BHR,
2021,DJI,
2021,EGY,
2021,IRN,
2021,IRQ,
2021,JOR,
2021,KWT,
2021,LBN,
2021,LBY,
2021,MAR,
2021,OMN,
2021,QAT,
2021,SAU,
2021,SOM,
2021,SDN,
2021,SYR,
2021,TUN,
2021,ARE,
2021,YEM,
2021,BEN,
2021,BFA,
2021,BDI,
2021,CPV,
2021,CMR,
2021,CAF,
2021,TCD,
2021,COG,
2021,CIV,
2021,COD,
2021,GNQ,
2021,GAB,
2021,GMB,
2021,GHA,
2021,GNB,
2021,GIN,
2021,LBR,
2021,MLI,
2021,MRT,
2021,NER,
2021,SEN,
2021,SLE,
2021,STP,
2021,TGO,
2021,NGA,Abia
2021,NGA,Adamawa
2021,NGA,Akwa-Ibom
2021,NGA,Anambra
2021,NGA,Bauchi
2021,NGA,Bayelsa
2021,NGA,Benue
2021,NGA,Borno
2021,NGA,CrossRiver
2021,NGA,Delta
2021,NGA,Ebonyi
2021,NGA,Edo
2021,NGA,Ekiti
2021,NGA,Enugu
2021,NGA,FCT
2021,NGA,Gombe
2021,NGA,Imo
2021,NGA,Jigawa
2021,NGA,Kaduna
2021,NGA,Kano
2021,NGA,Katsina
2021,NGA,Kebbi
2021,NGA,Kogi
2021,NGA,Kwara
2021,NGA,Lagos
2021,NGA,Nasarawa
2021,NGA,Niger
2021,NGA,Ogun
2021,NGA,Ondo
2021,NGA,Osun
2021,NGA,Oyo
2021,NGA,Plateau
2021,NGA,Rivers
2021,NGA,Sokoto
2021,NGA,Taraba
2021,NGA,Yobe
2021,NGA,Zamfara
2021,AUT,
2021,BEL,
2021,BGR,
2021,CAN,
2021,HRV,
2021,CYP,
2021,CZE,
2021,DNK,
2021,EST,
2021,FIN,
2021,FRA,
2021,DEU,
2021,GRC,
2021,HUN,
2021,ISL,
2021,IRL,
2021,ISR,
2021,ITA,
2021,LVA,
2021,LTU,
2021,LUX,
2021,MLT,
2021,NLD,
2021,NOR,
2021,POL,
2021,PRT,
2021,ROU,
2021,SRB,
2021,SVK,
2021,SVN,
2021,ESP,
2021,SWE,
2021,CHE,
2021,TUR,
2021,GBR,
2021,USA,
2022,MOZ,NORTH_Niassa
2022,MOZ,SOUTH_Maputo
2022,MOZ,NORTH_Cabo Delgado
2022,MOZ,NORTH_Nampula
2022,MOZ,CENTER_Zambezi
2022,MOZ,CENTER_Tete
2022,MOZ,CENTER_Manica
2022,MOZ,CENTER_Sofala
2022,MOZ,SOUTH_Inhambane
2022,MOZ,SOUTH_Gaza
2022,AGO,
2022,BEN,
2022,BWA,
2022,BFA,
2022,BDI,
2022,CMR,
2022,CAF,
2022,TCD,
2022,COG,
2022,CIV,
2022,COD,
2022,GNQ,
2022,ERI,
2022,SWZ,
